district_id,name_chinese,name_english,city_id
00101,海淀区,HaiDianQu,001
00102,石景山区,ShiJingShanQu,001
00103,丰台区,FengTaiQu,001
00104,房山区,FangShanQu,001
00105,朝阳区,ChaoYangQu,001
00106,西城区,XiChengQu,001
00107,东城区,DongChengQu,001
00108,大兴区,DaXingQu,001
00109,通州区,TongZhouQu,001
00110,顺义区,ShunYiQu,001
00111,昌平区,ChangPingQu,001
00112,门头沟区,MenTouGouQu,001
00113,平谷区,PingGuQu,001
00114,怀柔区,HuaiRouQu,001
00115,密云县,MiYunXian,001
00116,延庆县,YanQingXian,001
00401,宝安区,BaoAnQu,004
00402,南山区,NanShanQu,004
00403,龙岗区,LongGangQu,004
00404,盐田区,YanTianQu,004
00405,罗湖区,LuoHuQu,004
00406,福田区,FuTianQu,004
00407,南华区,NanHuaQu,004
00408,龙华新区,LongHuaXinQu,004
00601,北辰区,BeiChenQu,006
00602,西青区,XiQingQu,006
00603,南开区,NanKaiQu,006
00604,河东区,HeDongQu,006
00605,和平区,HePingQu,006
00606,红桥区,HongQiaoQu,006
00607,河西区,HeXiQu,006
00608,河北区,HeBeiQu,006
00609,滨海新区,BinHaiXinQu,006
00610,东丽区,DongLiQu,006
00611,蓟县,JiXian,006
00612,宝坻区,BaoQu,006
00613,宁河县,NingHeXian,006
00614,静海县,JingHaiXian,006
00615,塘沽区,TangGuQu,006
00616,武清,WuQing,006
00617,汉沽,HanGu,006
00618,津南,JinNan,006
00619,大港,DaGang,006
00620,渤海A平台,BoHaiAPingTai,006
00901,越秀区,YueXiuQu,009
00902,荔湾区,LiWanQu,009
00903,天河区,TianHeQu,009
00904,海珠区,HaiZhuQu,009
00905,黄埔区,HuangPuQu,009
00906,番禺区,FanQu,009
00907,花都区,HuaDuQu,009
00908,萝岗区,LuoGangQu,009
00909,从化市,CongHuaShi,009
00910,南沙区,NanShaQu,009
00911,增城,ZengCheng,009
00912,白云区,BaiYunQu,009
01001,中西区,ZhongXiQu,010
01002,东区,DongQu,010
01003,湾仔区,WanZiQu,010
01004,观塘区,GuanTangQu,010
01005,深水埗区,ShenShuiQu,010
01006,油尖旺区,YouJianWangQu,010
01007,葵青区,KuiQingQu,010
01008,沙田区,ShaTianQu,010
01009,大浦区,DaPuQu,010
01010,荃湾区,WanQu,010
01011,离岛区,LiDaoQu,010
01012,元朗区,YuanLangQu,010
01013,九龙,JiuLong,010
01014,新界,XinJie,010
01015,屯门区,TunMenQu,010
01101,裕华区,YuHuaQu,011
01102,桥西区,QiaoXiQu,011
01103,长安区,ChangAnQu,011
01104,新华区,XinHuaQu,011
01105,桥东区,QiaoDongQu,011
01106,鹿泉市,LuQuanShi,011
01107,正定县,ZhengDingXian,011
01108,栾城县,ChengXian,011
01109,藁城市,ChengShi,011
01110,晋州市,JinZhouShi,011
01111,新乐市,XinLeShi,011
01112,无极县,WuJiXian,011
01113,深泽县,ShenZeXian,011
01114,赵县,ZhaoXian,011
01115,高邑县,GaoYiXian,011
01116,元氏县,YuanShiXian,011
01117,赞皇县,ZanHuangXian,011
01118,井陉县,JingXian,011
01119,平山县,PingShanXian,011
01120,灵寿县,LingShouXian,011
01121,行唐县,XingTangXian,011
01122,辛集,XinJi,011
01201,辛集市,XinJiShi,012
01301,路北区,LuBeiQu,013
01302,开平区,KaiPingQu,013
01303,路南区,LuNanQu,013
01304,古冶区,GuYeQu,013
01305,丰南区,FengNanQu,013
01306,丰润区,FengRunQu,013
01307,迁西县,QianXiXian,013
01308,曹妃甸区,CaoDianQu,013
01309,遵化市,ZunHuaShi,013
01310,迁安市,QianAnShi,013
01311,滦县,LuanXian,013
01312,滦南,LuanNan,013
01313,乐亭,LeTing,013
01314,玉田,YuTian,013
01315,唐海,TangHai,013
01401,海港区,HaiGangQu,014
01402,北戴河区,BeiDaiHeQu,014
01403,山海关区,ShanHaiGuanQu,014
01404,青龙满族自治县,QingLongManZuZiZhiXian,014
01405,昌黎县,ChangLiXian,014
01406,抚宁县,FuNingXian,014
01407,卢龙,LuLong,014
01701,北市区,BeiShiQu,017
01702,南市区,NanShiQu,017
01703,新市区,XinShiQu,017
01704,满城县,ManChengXian,017
01705,清菀县,QingXian,017
01706,徐水县,XuShuiXian,017
01707,安新县,AnXinXian,017
01708,涿州市,ZhouShi,017
01709,高碑店市,GaoBeiDianShi,017
01710,阜平,FuPing,017
01711,唐县,TangXian,017
01712,高阳,GaoYang,017
01713,容城,RongCheng,017
01714,涞源,Yuan,017
01715,望都,WangDu,017
01716,易县,YiXian,017
01717,曲阳,QuYang,017
01718,蠡县,Xian,017
01719,顺平,ShunPing,017
01720,雄县,XiongXian,017
01721,定州,DingZhou,017
01722,安国,AnGuo,017
01723,涞水,Shui,017
01724,定兴,DingXing,017
01725,清苑,QingYuan,017
01726,博野,BoYe,017
01801,定州市,DingZhouShi,018
01901,宣化区,XuanHuaQu,019
01902,下花园区,XiaHuaYuanQu,019
01903,怀安县,HuaiAnXian,019
01904,怀来县,HuaiLaiXian,019
01905,赤城县,ChiChengXian,019
01906,张北,ZhangBei,019
01907,康保,KangBao,019
01908,沽源,GuYuan,019
01909,尚义,ShangYi,019
01910,蔚县,WeiXian,019
01911,阳原,YangYuan,019
01912,万全,WanQuan,019
01913,涿鹿,ZhuoLu,019
01914,崇礼,ChongLi,019
01915,桥东区,QiaoDongQu,019
01916,桥西区,QiaoXiQu,019
02001,双桥区,ShuangQiaoQu,020
02002,双滦区,ShuangLuanQu,020
02003,承德县,ChengDeXian,020
02004,兴隆县,XingLongXian,020
02005,滦平县,LuanPingXian,020
02006,丰宁县,FengNingXian,020
02007,平泉,PingQuan,020
02008,隆化,LongHua,020
02009,宽城,KuanCheng,020
02010,围场,WeiChang,020
02101,沧县,CangXian,021
02102,运河区,YunHeQu,021
02103,青县,QingXian,021
02104,泊头市,BoTouShi,021
02105,任丘市,RenQiuShi,021
02106,黄骅市,HuangShi,021
02107,东光,DongGuang,021
02108,海兴,HaiXing,021
02109,盐山,YanShan,021
02110,肃宁,SuNing,021
02111,南皮,NanPi,021
02112,吴桥,WuQiao,021
02113,献县,XianXian,021
02114,孟村,MengCun,021
02115,河间,HeJian,021
02201,广阳区,GuangYangQu,022
02202,固安县,GuAnXian,022
02203,香河县,XiangHeXian,022
02204,文安县,WenAnXian,022
02205,大厂回族自治县,DaChangHuiZuZiZhiXian,022
02206,霸州市,BaZhouShi,022
02207,三河市,SanHeShi,022
02208,永清,YongQing,022
02209,大城,DaCheng,022
02210,安次区,AnCiQu,022
02301,桃城区,TaoChengQu,023
02302,安平县,AnPingXian,023
02303,冀州市,JiZhouShi,023
02304,枣强,ZaoQiang,023
02305,武邑,WuYi,023
02306,武强,WuQiang,023
02307,饶阳,RaoYang,023
02308,故城,GuCheng,023
02309,景县,JingXian,023
02310,阜城,FuCheng,023
02311,深州,ShenZhou,023
02401,湘桥区,XiangQiaoQu,024
02402,饶平,RaoPing,024
02403,潮安,ChaoAn,024
02501,东莞市,DongShi,025
02502,萝岗区,LuoGangQu,025
02601,高明区,GaoMingQu,026
02602,南海区,NanHaiQu,026
02603,顺德区,ShunDeQu,026
02604,三水区,SanShuiQu,026
02605,禅城区,ChengQu,026
02701,源城区,YuanChengQu,027
02702,紫金,ZiJin,027
02703,连平,LianPing,027
02704,和平,HePing,027
02705,龙川,LongChuan,027
02706,东源,DongYuan,027
02801,惠阳区,HuiYangQu,028
02802,惠城区,HuiChengQu,028
02803,博罗县,BoLuoXian,028
02804,惠东,HuiDong,028
02805,龙门,LongMen,028
02901,蓬江区,PengJiangQu,029
02902,榕城区,ChengQu,029
02903,台山市,TaiShanShi,029
02904,新会区,XinHuiQu,029
02905,鹤山市,HeShanShi,029
02906,开平,KaiPing,029
02907,恩平,EnPing,029
02908,江海,JiangHai,029
03001,揭西,JieXi,030
03002,普宁,PuNing,030
03003,惠来,HuiLai,030
03004,揭东,JieDong,030
03005,榕城区,ChengQu,030
03101,茂南区,MaoNanQu,031
03102,茂港区,MaoGangQu,031
03103,高州,GaoZhou,031
03104,化州,HuaZhou,031
03105,电白,DianBai,031
03106,信宜,XinYi,031
03201,梅江区,MeiJiangQu,032
03202,梅县,MeiXian,032
03203,兴宁,XingNing,032
03204,蕉岭,JiaoLing,032
03205,大埔,DaPu,032
03206,丰顺,FengShun,032
03207,平远,PingYuan,032
03208,五华,WuHua,032
03301,清城区,QingChengQu,033
03302,连南,LianNan,033
03303,连州,LianZhou,033
03304,连山,LianShan,033
03305,阳山,YangShan,033
03306,佛冈,FoGang,033
03307,英德,YingDe,033
03308,清新,QingXin,033
03401,潮南区,ChaoNanQu,034
03402,潮阳区,ChaoYangQu,034
03403,澄海区,ChengHaiQu,034
03404,濠江区,JiangQu,034
03405,金平区,JinPingQu,034
03406,龙湖区,LongHuQu,034
03407,南澳,NanAo,034
03501,海丰县,HaiFengXian,035
03502,陆丰,LuFeng,035
03503,陆河,LuHe,035
03601,武江区,WuJiangQu,036
03602,曲江区,QuJiangQu,036
03603,浈江区,JiangQu,036
03604,乳源,RuYuan,036
03605,始兴,ShiXing,036
03606,翁源,WengYuan,036
03607,乐昌,LeChang,036
03608,仁化,RenHua,036
03609,南雄,NanXiong,036
03610,新丰,XinFeng,036
03701,江城区,JiangChengQu,037
03702,阳春,YangChun,037
03703,阳东,YangDong,037
03704,阳西,YangXi,037
03801,云城区,YunChengQu,038
03802,罗定,LuoDing,038
03803,新兴,XinXing,038
03804,郁南,YuNan,038
03805,云安,YunAn,038
04001,端州区,DuanZhouQu,040
04002,鼎湖区,DingHuQu,040
04003,广宁,GuangNing,040
04004,四会,SiHui,040
04005,德庆,DeQing,040
04006,怀集,HuaiJi,040
04007,封开,FengKai,040
04008,高要,GaoYao,040
04101,石岐区,ShiQu,041
04102,中山市,ZhongShanShi,041
04201,斗门区,DouMenQu,042
04202,香洲区,XiangZhouQu,042
04203,金湾,JinWan,042
12801,阳高,YangGao,128
12802,大同县,DaTongXian,128
12803,天镇,TianZhen,128
12804,广灵,GuangLing,128
12805,灵丘,LingQiu,128
12806,浑源,HunYuan,128
12807,左云,ZuoYun,128
12808,大同市区,DaTongShiQu,128
14901,长清,ChangQing,149
14902,商河,ShangHe,149
14903,章丘,ZhangQiu,149
14904,平阴,PingYin,149
14905,济阳,JiYang,149
14906,历下区,LiXiaQu,149
14907,市中区,ShiZhongQu,149
14908,槐荫区,HuaiYinQu,149
14909,天桥区,TianQiaoQu,149
14910,历城区,LiChengQu,149
14911,长清区,ChangQingQu,149
14912,开发区,KaiFaQu,149
15101,淄川,ZiChuan,151
15102,博山,BoShan,151
15103,高青,GaoQing,151
15104,周村,ZhouCun,151
15105,沂源,YiYuan,151
15106,桓台,HuanTai,151
15107,临淄,LinZi,151
15108,张店区,ZhangDianQu,151
15109,开发区,KaiFaQu,151
15201,武城,WuCheng,152
15202,临邑,LinYi,152
15203,陵县,LingXian,152
15204,齐河,QiHe,152
15205,乐陵,LeLing,152
15206,庆云,QingYun,152
15207,平原,PingYuan,152
15208,宁津,NingJin,152
15209,夏津,XiaJin,152
15210,禹城,YuCheng,152
15211,德城区,DeChengQu,152
15901,博兴,BoXing,159
15902,无棣,WuDi,159
15903,阳信,YangXin,159
15904,惠民,HuiMin,159
15905,沾化,ZhanHua,159
15906,邹平,ZouPing,159
15907,滨城区,BinChengQu,159
16001,河口,HeKou,160
16002,垦利,KenLi,160
16003,利津,LiJin,160
16004,广饶,GuangRao,160
16005,东城区,DongChengQu,160
16006,东营区,DongYingQu,160
16007,开发区,KaiFaQu,160
31101,桂阳,GuiYang,311
31102,嘉禾,JiaHe,311
31103,宜章,YiZhang,311
31104,临武,LinWu,311
31105,资兴,ZiXing,311
31106,汝城,RuCheng,311
31107,安仁,AnRen,311
31108,永兴,YongXing,311
31109,桂东,GuiDong,311
31110,苏仙,SuXian,311
31111,北湖区,BeiHuQu,311
37101,藤县,TengXian,371
37102,苍梧,CangWu,371
37103,蒙山,MengShan,371
37104,岑溪,CenXi,371
37105,长洲,ChangZhou,371
37106,万秀区,WanXiuQu,371
37107,龙圩区,LongQu,371
37108,长洲区,ChangZhouQu,371
37201,昭平,ZhaoPing,372
37202,富川,FuChuan,372
37203,钟山,ZhongShan,372
37204,八步区,BaBuQu,372
