station_id,name_chinese,name_english,latitude,longitude,district_id
001001,海淀北部新区,HaiDianBeiBuXinQu,40.090679,116.173553,00101
001002,海淀北京植物园,HaiDianBeiJingZhiWuYuan,40.003950,116.205310,00101
001003,石景山古城,ShiJingShanGuCheng,39.914409,116.184239,00102
001004,丰台云岗,FengTaiYunGang,39.815128,116.171150,00103
001005,房山良乡,FangShanLiangXiang,39.742767,116.136045,00104
001006,海淀万柳,HaiDianWanLiu,39.987313,116.287451,00101
001007,朝阳奥体中心,ChaoYangAoTiZhongXin,39.982053,116.397400,00105
001008,西直门北大街,XiZhiMenBeiDaJie,39.954047,116.348991,00101
001009,西城万寿西宫,XiChengWanShouXiGong,39.878193,116.351974,00106
001010,永定门内大街,YongDingMenNeiDaJie,39.876184,116.394009,00103
001011,南三环西路,NanSanHuanXiLu,39.855958,116.367810,00103
001012,朝阳农展馆,ChaoYangNongZhanGuan,39.937119,116.460742,00105
001013,东城东四,DongChengDongSi,39.929287,116.416883,00107
001014,东四环北路,DongSiHuanBeiLu,39.939554,116.483746,00105
001015,西城官园,XiChengGuanYuan,39.929302,116.351029,00106
001016,丰台花园,FengTaiHuaYuan,39.863470,116.279082,00103
001017,大兴黄村镇,DaXingHuangCunZhen,39.718147,116.406155,00108
001018,亦庄开发区,YiZhuangKaiFaQu,39.794491,116.506319,00108
001019,通州新城,TongZhouXinCheng,39.885241,116.664162,00109
001020,东城天坛,DongChengTianTan,39.886491,116.407355,00107
001021,前门东大街,QianMenDongDaJie,39.899135,116.395383,00107
001022,北京美国大使馆,BeiJingMeiGuoDaShiGuan,39.920993,116.443448,00105
001023,顺义新城,ShunYiXinCheng,40.127000,116.655000,00110
001024,昌平镇,ChangPingZhen,40.216999,116.230000,00111
001025,门头沟龙泉镇,MenTouGouLongQuanZhen,39.936999,116.105999,00112
001026,平谷镇,PingGuZhen,40.143000,117.099999,00113
001027,怀柔镇,HuaiRouZhen,40.328000,116.628000,00114
001028,密云镇,MiYunZhen,40.369999,116.831999,00115
001029,延庆镇,YanQingZhen,40.453000,115.971999,00116
001030,昌平定陵,ChangPingDingLing,40.292000,116.220000,00111
001031,京西北八达岭,JingXiBeiBaDaLing,40.365000,115.988000,00116
001032,京东北密云水库,JingDongBeiMiYunShuiKu,40.499000,116.911000,00115
001033,京东东高村,JingDongDongGaoCun,40.100000,117.120000,00113
001034,京东南永乐店,JingDongNanYongLeDian,39.712000,116.783000,00109
001035,京南榆垡,JingNanYu,39.520000,116.300000,00108
001036,京西南琉璃河,JingXiNanLiuLiHe,39.579999,116.000000,00104
004002,华侨城,HuaQiaoCheng,22.534241,113.984871,00402
004003,南油,NanYou,22.491464,113.945560,00402
004007,盐田,YanTian,22.557269,114.236870,00404
004008,荔园,LiYuan,22.563193,114.106793,00405
004009,洪湖,HongHu,22.565809,114.117757,00405
004011,梅沙,MeiSha,22.603867,114.267082,00404
004014,观澜,GuanLan,22.720160,114.076601,00401
004017,西乡,XiXiang,22.575856,113.862238,00401
004018,南澳,NanAo,22.528186,114.496906,00403
004019,龙岗,LongGang,22.720358,114.247468,00403
004020,葵涌,KuiYong,22.630626,114.423948,00403
006001,天津淮河道,TianJinHuaiHeDao,39.226534,117.185582,00601
006002,天津海泰发展二路,TianJinHaiTaiFaZhanErLu,39.078575,117.090225,00602
006003,天津复康路,TianJinFuKangLu,39.097003,117.151144,00603
006004,天津大直沽八号路,TianJinDaZhiGuBaHaoLu,39.110683,117.244978,00604
006005,天津南京路,TianJinNanJingLu,39.119988,117.188737,00605
006006,天津香山道,TianJinXiangShanDao,39.134453,117.268666,00604
006007,天津新华道,TianJinXinHuaDao,39.138249,117.003922,00602
006008,天津勤俭道,TianJinQinJianDao,39.165838,117.144256,00606
006010,天津前进道,TianJinQianJinDao,39.092699,117.201676,00607
006011,天津南口路,TianJinNanKouLu,39.172125,117.189702,00608
006012,天津津沽路,TianJinJinGuLu,38.984566,117.373981,00609
006013,天津航天路,TianJinHangTianLu,39.151429,117.374754,00610
006014,天津跃进路,TianJinYueJinLu,39.087569,117.314156,00610
006015,天津东环路,TianJinDongHuanLu,40.047066,117.445221,00611
006016,天津建设路,TianJinJianSheLu,39.718542,117.307892,00612
006017,天津宝白公路,TianJinBaoBaiGongLu,39.521521,117.349777,00612
006019,天津河西一经路,TianJinHeXiYiJingLu,39.247742,117.791805,00613
006020,天津汉北路,TianJinHanBeiLu,39.163609,117.765026,00609
006021,天津广安道,TianJinGuangAnDao,38.845188,116.779604,00614
006022,天津第四大街,TianJinDiSiDaJie,39.035119,117.708035,00609
006023,天津塘沽营口道,TianJinTangGuYingKouDao,39.021217,117.650914,00615
006024,天津永明路,TianJinYongMingLu,38.841980,117.456722,00609
006025,天津北纬二路,TianJinBeiWeiErLu,38.943255,116.914829,00614
006026,天津团泊洼,TianJinTuanBoWa,38.920287,117.156657,00614
006027,天津泉州南路,TianJinQuanZhouNanLu,39.375577,117.044563,00615
006028,天津市监测中心,TianJinShiJianCeZhongXin,39.097000,117.151000,00603
006040,天津雍阳西道,TianJinYongYangXiDao,39.384054,117.042640,00616
009016,广州美国领事馆,GuangZhouMeiGuoLingShiGuan,23.141190,113.258374,00903
009017,广雅中学,GuangYaZhongXue,23.142227,113.234686,00902
009018,市五中,ShiWuZhong,23.104960,113.261174,00904
009019,市监测站,ShiJianCeZhan,23.133056,113.259722,00901
009020,天河职幼,TianHeZhiYou,23.131667,113.322039,00903
009021,麓湖,LuHu,23.154167,113.276514,00901
009022,广东商学院,GuangDongShangXueYuan,23.091388,113.347888,00904
009023,市八十六中,ShiBaShiLiuZhong,23.104721,113.433222,00905
009024,番禺中学,FanZhongXue,22.947500,113.351553,00906
009025,花都师范,HuaDuShiFan,23.391667,113.214733,00907
009026,九龙镇镇龙,JiuLongZhenZhenLong,23.310832,113.561944,00908
009027,杨箕路边站,YangJiLuBianZhan,23.129443,113.301111,00901
009028,黄沙路边站,HuangShaLuBianZhan,23.116111,113.231388,00902
009029,南沙科学馆,NanShaKeXueGuan,22.773667,113.604167,00910
009030,黄阁子站,HuangGeZiZhan,22.816666,113.492222,00910
009031,十八涌,ShiBaYong,22.613333,113.633125,00910
009032,番禺沙湾,FanShaWan,22.909027,113.336749,00906
009033,大石中学,DaShiZhongXue,23.026944,113.302778,00906
009034,思源中学,SiYuanZhongXue,23.143889,113.416111,00903
009035,龙洞小学,LongDongXiaoXue,23.198611,113.360833,00903
009036,西区子站,XiQuZiZhan,23.063233,113.525564,00908
009037,永和子站,YongHeZiZhan,23.203330,113.547225,00908
009038,科学城,KeXueCheng,23.155598,113.425556,00908
009039,增城环保局,ZengChengHuanBaoJu,23.287222,113.821389,00911
009040,新塘镇政府,XinTangZhenZhengFu,23.122361,113.613889,00911
009041,从化环保局,CongHuaHuanBaoJu,23.553781,113.589447,00909
009042,黄埔文冲,HuangPuWenChong,23.095908,113.478058,00905
009043,白云嘉禾,BaiYunJiaHe,23.239108,113.288500,00912
009044,荔福路沙园,LiFuLuShaYuan,23.088166,113.262175,00904
009045,帽峰山,MaoFengShan,23.303332,113.443333,00912
009046,白云竹料,BaiYunZhuLiao,23.368611,113.347778,00912
009047,荔湾芳村,LiWanFangCun,23.078527,113.222778,00902
009058,帽峰山森林公园,MaoFengShanSenLinGongYuan,23.553799,113.589000,00909
009059,天湖,TianHu,23.650200,113.624600,00909
009060,万顷沙,WanQingSha,22.710799,113.548500,00910
009061,磨碟沙站,MoDieShaZhan,23.106400,113.332800,00904
009062,竹洞,ZhuDong,23.420832,113.073055,00907
009063,大丰门水库,DaFengMenShuiKu,23.562600,113.769700,00911
009064,海珠湖,HaiZhuHu,23.072399,113.322800,00904
009065,白云山,BaiYunShan,23.193200,113.300700,00912
009066,石楼镇政府,ShiLouZhenZhengFu,22.972000,113.483300,00906
009067,大夫山,DaFuShan,22.951400,113.300299,00906
010001,中西区,ZhongXiQu,22.279278,114.163152,01001
010003,东区,DongQu,22.270313,114.240731,01002
010004,铜锣湾,TongLuoWan,22.278117,114.185972,01003
010005,观塘,GuanTang,22.310507,114.230626,01004
010006,深水,ShenShui,22.328105,114.165909,01005
010007,旺角,WangJiao,22.315788,114.177024,01006
010008,葵涌,KuiYong,22.363947,114.130075,01007
010009,沙田,ShaTian,22.374165,114.202151,01008
010010,大浦,DaPu,22.438400,114.169686,01009
010011,荃湾,Wan,22.366150,114.118080,01010
010012,东涌,DongYong,22.284331,113.948134,01011
010013,元朗,YuanLang,22.441929,114.031000,01012
010014,塔门,TaMen,22.475460,114.359399,01009
010015,中环,ZhongHuan,22.279990,114.158798,01001
010016,屯门,TunMen,22.390899,113.972600,01015
011001,市区世纪公园,ShiQuShiJiGongYuan,38.030999,114.542000,01101
011002,市区西南高教,ShiQuXiNanGaoJiao,38.012000,114.467000,01102
011003,市区化工学校,ShiQuHuaGongXueXiao,38.055000,114.563999,01103
011004,市区职工医院,ShiQuZhiGongYiYuan,38.051000,114.455000,01104
011005,市区人民会堂,ShiQuRenMinHuiTang,38.052000,114.521000,01105
011006,市区西北水源,ShiQuXiBeiShuiYuan,38.140000,114.502000,01104
011007,市区高新区,ShiQuGaoXinQu,38.039999,114.605000,01101
011008,市区封龙山,ShiQuFengLongShan,37.909999,114.354000,01106
011009,鹿泉一中,LuQuanYiZhong,38.085000,114.346999,01106
011010,正定联通公司,ZhengDingLianTongGongSi,38.158999,114.593000,01107
011011,栾城通讯公司,ChengTongXunGongSi,37.905999,114.633000,01108
011012,藁城实验学校,ChengShiYanXueXiao,38.039000,114.861999,01109
011013,晋州博纳德,JinZhouBoNaDe,38.039999,115.078999,01110
011014,新乐市委东楼,XinLeShiWeiDongLou,38.348999,114.690000,01111
011015,无极环保局,WuJiHuanBaoJu,38.177999,114.991000,01112
011016,深泽供电局,ShenZeGongDianJu,38.197000,115.212999,01113
011017,赵县环保局,ZhaoXianHuanBaoJu,37.771000,114.770000,01114
011018,高邑县政府,GaoYiXianZhengFu,37.622999,114.607000,01115
011019,元氏住建局,YuanShiZhuJianJu,37.765999,114.517000,01116
011020,赞皇县政府,ZanHuangXianZhengFu,37.671999,114.392000,01117
011021,井陉县气象局,JingXianQiXiangJu,38.037999,114.152000,01118
011022,井陉矿区区委大楼,JingKuangQuQuWeiDaLou,38.070999,114.069000,01118
011023,平山冶河,PingShanYeHe,38.265999,114.203999,01119
011024,灵寿供水,LingShouGongShui,38.314999,114.367000,01120
011025,行唐县委办公楼,XingTangXianWeiBanGongLou,38.444000,114.560000,01121
012001,辛集市政府,XinJiShiZhengFu,37.948999,115.224000,01201
013001,雷达站子站,LeiDaZhanZiZhan,39.643000,118.144000,01301
013002,供销社,GongXiaoShe,39.631000,118.166000,01301
013003,十二中,ShiErZhong,39.658000,118.184000,01301
013004,物资局,WuZiJu,39.640999,118.185000,01301
013005,陶瓷公司,TaoCiGongSi,39.667999,118.218999,01302
013006,小山,XiaoShan,39.630000,118.200000,01303
013007,古冶区政府,GuYeQuZhengFu,39.740000,118.453999,01304
013008,开平监测站,KaiPingJianCeZhan,39.674000,118.269000,01302
013009,丰南区政府,FengNanQuZhengFu,39.582000,118.090999,01305
013010,丰润区政府,FengRunQuZhengFu,39.838999,118.169000,01306
013011,迁西环保局,QianXiHuanBaoJu,40.152000,118.311000,01307
013012,曹妃甸新立小学,CaoDianXinLiXiaoXue,39.289999,118.456000,01308
013013,遵化环保局,ZunHuaHuanBaoJu,40.204999,117.991000,01309
013014,迁安一中,QianAnYiZhong,40.003000,118.711000,01310
013015,乐亭县综合职校,LeTingXianZongHeZhiXiao,39.432000,118.919000,01313
013016,滦县第一中学,LuanXianDiYiZhongXue,39.747000,118.709999,01311
013017,滦南县县政府,LuanNanXianXianZhengFu,39.509999,118.681000,01312
013018,玉田县政府,YuTianXianZhengFu,39.906999,117.745000,01314
014001,市监测站,ShiJianCeZhan,39.957000,119.602000,01401
014002,北戴河,BeiDaiHe,39.828000,119.526000,01402
014003,第一关,DiYiGuan,40.018000,119.762000,01403
014004,建设大厦,JianSheDaXia,39.942000,119.537000,01401
014005,市政府,ShiZhengFu,39.936000,119.607000,01401
014006,青龙环保局,QingLongHuanBaoJu,40.417999,118.952000,01404
014007,昌黎环保局,ChangLiHuanBaoJu,39.713000,119.167000,01405
014008,抚宁党校,FuNingDangXiao,39.881999,119.251000,01406
014009,卢龙县气象局,LuLongXianQiXiangJu,39.899999,118.899000,01407
017001,市监测站,ShiJianCeZhan,38.871000,115.521000,01701
017002,地表水厂,DiBiaoShuiChang,38.841999,115.461000,01702
017003,华电二区,HuaDianErQu,38.896000,115.522000,01701
017004,接待中心,JieDaiZhongXin,38.911000,115.471000,01703
017005,胶片厂,JiaoPianChang,38.875999,115.441999,01703
017006,游泳馆,YouYongGuan,38.863000,115.492999,01701
017007,满城税务局,ManChengShuiWuJu,38.954999,115.328999,01704
017008,清菀县政府,QingXianZhengFu,38.771000,115.496000,01705
017009,徐水环保局,XuShuiHuanBaoJu,39.024999,115.662000,01706
017010,安新民政局,AnXinMinZhengJu,38.942000,115.941999,01707
017011,涿州监测站,ZhouJianCeZhan,39.491999,116.034000,01708
017012,高碑店环保局,GaoBeiDianHuanBaoJu,39.332000,115.880000,01709
017013,易县环境保护局,YiXianHuanJingBaoHuJu,39.347000,115.479000,01716
017014,顺平县环保局,ShunPingXianHuanBaoJu,38.850000,115.150000,01719
017015,容城县环境保护局,RongChengXianHuanJingBaoHuJu,39.048000,115.867999,01713
017016,蠡县县政府,XianXianZhengFu,38.488000,115.578000,01718
017017,唐县政府楼,TangXianZhengFuLou,38.747999,114.976000,01711
017018,雄县环境保护局,XiongXianHuanJingBaoHuJu,38.981999,116.090000,01720
017019,定兴县政府,DingXingXianZhengFu,39.268999,115.813999,01724
017020,涞源县环保局,YuanXianHuanBaoJu,39.359000,114.697999,01714
017021,曲阳县环保局,QuYangXianHuanBaoJu,38.619999,114.724999,01717
017022,白沟新城行政中心楼,BaiGouXinChengXingZhengZhongXinLou,39.109000,116.029000,01709
017023,阜平县环保局,FuPingXianHuanBaoJu,38.850999,114.194000,01710
017024,安国市政府,AnGuoShiZhengFu,38.427999,115.322000,01722
017025,涞水县环境监测站,ShuiXianHuanJingJianCeZhan,39.393000,115.712999,01723
017026,高阳县环保局,GaoYangXianHuanBaoJu,38.692000,115.764000,01712
017027,望都县环境监测站,WangDuXianHuanJingJianCeZhan,38.704999,115.160000,01715
017028,博野县招生办,BoYeXianZhaoShengBan,38.453000,115.462000,01726
018001,定州武装部,DingZhouWuZhuangBu,38.521999,114.997000,01801
019001,北泵房,BeiBengFang,40.872999,114.904000,01914
019002,世纪豪园,ShiJiHaoYuan,40.768999,114.903000,01915
019003,人民公园,RenMinGongYuan,40.837000,114.898000,01916
019004,五金库,WuJinKu,40.811000,114.881000,01916
019005,探机厂,TanJiChang,40.795000,114.892000,01915
019006,宣化区军营凤凰城,XuanHuaQuJunYingFengHuangCheng,40.615000,115.105999,01901
019007,下花园环保局,XiaHuaYuanHuanBaoJu,40.508000,115.296000,01902
019008,怀安环保局,HuaiAnHuanBaoJu,40.680000,114.392000,01903
